gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
womens,2018-03-12,0,1.0,0.352195565258,0.021215041054,0.00652164898,0.001128234959,4.0718545e-05,5.586617e-06,1,135,Minnesota,83.88,Spokane,10
womens,2018-03-12,0,1.0,0.521761195761,0.063162878763,0.007414877826,0.001080588635,3.3093674e-05,3.942813e-06,1,99,Louisiana State,83.37,Spokane,6
womens,2018-03-12,0,1.0,0.531760365737,0.039431949618,0.01113126379,0.000190829142,3.134488e-05,3.847195e-06,1,25,California,85.11,Albany,7
womens,2018-03-12,0,1.0,0.478238804239,0.054424523998,0.005085810152,0.000607014898,1.7734914e-05,2.03314e-06,1,2117,Central Michigan,81.36,Spokane,11
womens,2018-03-12,0,1.0,0.286106841916,0.011533402893,0.00387990076,0.000288667518,3.9397193e-05,1.765611e-06,1,2168,Dayton,79.88,Lexington,9
womens,2018-03-12,0,1.0,0.449097733439,0.00190654508,0.00079471377,0.000164106355,1.8814134e-05,1.605663e-06,1,2514,Quinnipiac,79.85,Albany,9
womens,2018-03-12,0,1.0,0.468239634263,0.031252048588,0.00734383319,0.000100039391,1.4572181e-05,1.585149e-06,1,258,Virginia,81.44,Albany,10
womens,2018-03-12,0,1.0,0.394346775066,0.011849116579,0.003657217787,0.000454879038,1.3201482e-05,1.508473e-06,1,222,Villanova,81.44,Spokane,9
womens,2018-03-12,0,1.0,0.177719956726,0.045425733741,0.002480572118,0.000336482644,2.9025642e-05,1.214156e-06,1,163,Princeton,80.84,Kansas City,12
womens,2018-03-12,0,1.0,0.342711423237,0.02197712638,0.003191942024,0.000383794414,3.0137351e-05,1.145422e-06,1,156,Creighton,80.95,Kansas City,11
womens,2018-03-12,0,1.0,0.199327105427,0.022228753791,0.003761567312,6.2500803e-05,9.669344e-06,1.121322e-06,1,2084,Buffalo,81.12,Albany,11
womens,2018-03-12,0,1.0,0.192404960111,0.051800686148,0.002509020644,0.000307236657,2.389564e-05,9.01143e-07,1,2210,Elon,79.75,Kansas City,13
womens,2018-03-12,0,1.0,0.208594116202,0.061659558043,0.000395870362,6.4690124e-05,8.445216e-06,8.24055e-07,1,2057,Belmont,79.98,Albany,12
womens,2018-03-12,0,1.0,0.248896627905,0.030255612398,0.001254314155,0.000151336555,1.7101047e-05,6.27638e-07,1,98,Western Kentucky,79.3,Lexington,11
womens,2018-03-12,0,1.0,0.10674488275,0.047055346993,0.00296192456,0.000172251393,1.7854009e-05,5.97108e-07,1,2250,Gonzaga,81.47,Lexington,13
womens,2018-03-12,0,1.0,0.239774915865,0.009816943537,0.002016206103,0.000216469083,1.4873408e-05,4.95986e-07,1,158,Nebraska,79.79,Kansas City,10
womens,2018-03-12,0,1.0,0.124282883811,0.028703181421,0.001974329642,0.0002316796,5.097996e-06,4.59878e-07,1,2181,Drake,79.56,Spokane,13
womens,2018-03-12,0,1.0,0.206736070555,0.057467914278,0.000297920707,4.1538939e-05,4.41063e-06,3.49693e-07,1,2382,Mercer,78.69,Albany,13
womens,2018-03-12,0,1.0,0.195027169055,0.016982163029,0.00090472383,4.4876282e-05,3.934439e-06,1.10875e-07,1,526,Florida Gulf Coast,78.55,Lexington,12
womens,2018-03-12,0,1.0,0.032342228576,0.009889591362,0.000402686294,2.3237815e-05,3.26699e-07,2.0029e-08,1,45,George Washington,75.17,Spokane,14
womens,2018-03-12,0,1.0,0.190742622114,0.001200205156,0.000155712161,1.0822317e-05,7.70109e-07,1.7576e-08,1,2458,Northern Colorado,76.66,Lexington,10
womens,2018-03-12,0,1.0,0.027940825385,0.003925516852,0.000217860027,1.097456e-06,6.6672e-08,3.062e-09,1,2031,Arkansas-Little Rock,73.64,Albany,14
womens,2018-03-12,0,1.0,0.00754192994,0.001140033966,7.9852682e-05,2.982483e-06,1.01601e-07,1.726e-09,1,311,Maine,73.34,Kansas City,15
womens,2018-03-12,0,1.0,0.008765231025,0.001351483296,4.7174793e-05,1.518885e-06,4.8462e-08,7.74e-10,1,44,American,71.55,Kansas City,14
womens,2018-03-12,0,1.0,0.004920959916,0.000643398366,7.126764e-05,1.393983e-06,5.4504e-08,6.81e-10,1,68,Boise State,72.44,Lexington,16
womens,2018-03-12,0,1.0,0.019136782447,0.002190185011,2.0520646e-05,7.50517e-07,2.9143e-08,3.62e-10,1,2335,Liberty,69.68,Lexington,14
womens,2018-03-12,0,1.0,0.000231921183,3.4120211e-05,4.123551e-06,2.02459e-07,7.271e-09,2.02e-10,1,2598,Saint Francis (PA),67.54,Albany,16
womens,2018-03-12,0,1.0,0.00343115815,0.000284202157,1.5622605e-05,4.43808e-07,1.089e-09,1.4e-11,1,2547,Seattle,65.92,Spokane,15
womens,2018-03-12,0,1.0,0.004049133378,0.000440827229,1.600771e-05,2.9803e-08,6.99e-10,1.3e-11,1,2448,North Carolina A&T,65.27,Albany,15
womens,2018-03-12,0,1.0,0.001221192712,0.000101390849,7.578481e-06,2.00272e-07,6.1e-10,1e-11,1,2463,Cal State Northridge,66.59,Spokane,16
womens,2018-03-12,0,1.0,0.000791600814,4.4270741e-05,1.894325e-06,2.945e-08,2.42e-10,1e-12,1,2447,Nicholls State,62.81,Kansas City,16
womens,2018-03-12,0,1.0,0.000275298524,1.53374e-05,2.63497e-07,2.606e-09,2.7e-11,0.0,1,2755,Grambling,60.58,Lexington,15
